date,pm25,pm10,o3,no2,so2,co
2014-07-23,73.0,87.0,48.0,39.0,3.0,9.0
2014-07-24,145.0,70.0,103.0,23.0,4.0,14.0
2014-07-25,146.0,91.0,131.0,16.0,7.0,11.0
2014-07-26,170.0,94.0,131.0,14.0,11.0,8.0
2014-07-27,171.0,89.0,107.0,13.0,6.0,8.0
2014-07-28,175.0,93.0,103.0,13.0,3.0,7.0
2014-07-29,179.0,95.0,59.0,11.0,2.0,13.0
2014-07-30,191.0,118.0,108.0,19.0,3.0,15.0
2014-07-31,232.0,95.0,99.0,15.0,2.0,12.0
2014-08-01,196.0,81.0,115.0,18.0,2.0,9.0
2014-08-02,170.0,88.0,104.0,26.0,1.0,10.0
2014-08-03,180.0,44.0,24.0,20.0,1.0,6.0
2014-08-04,83.0,57.0,67.0,16.0,4.0,6.0
2014-08-05,67.0,58.0,52.0,19.0,1.0,5.0
2014-08-06,86.0,75.0,126.0,22.0,6.0,11.0
2014-08-07,144.0,73.0,120.0,21.0,6.0,10.0
2014-08-08,140.0,86.0,114.0,22.0,5.0,10.0
2014-08-09,156.0,54.0,101.0,16.0,1.0,6.0
2014-08-10,91.0,59.0,62.0,23.0,1.0,5.0
2014-08-11,73.0,53.0,98.0,31.0,3.0,9.0
2014-08-12,84.0,42.0,31.0,15.0,1.0,5.0
2014-08-13,82.0,51.0,85.0,22.0,2.0,6.0
2014-08-14,85.0,104.0,95.0,27.0,2.0,6.0
2014-08-15,102.0,72.0,72.0,23.0,6.0,6.0
2014-08-16,139.0,57.0,100.0,16.0,3.0,5.0
2014-08-17,116.0,66.0,99.0,19.0,3.0,8.0
2014-08-18,140.0,78.0,110.0,19.0,4.0,9.0
2014-08-19,157.0,87.0,116.0,17.0,9.0,9.0
2014-08-20,170.0,109.0,114.0,23.0,7.0,11.0
2014-08-21,188.0,60.0,32.0,29.0,2.0,7.0
2014-08-22,113.0,104.0,114.0,36.0,3.0,12.0
2014-08-23,187.0,31.0,48.0,13.0,2.0,4.0
2014-08-24,61.0,33.0,52.0,18.0,1.0,3.0
2014-08-25,56.0,53.0,67.0,29.0,2.0,4.0
2014-08-26,69.0,77.0,103.0,34.0,4.0,6.0
2014-08-27,129.0,85.0,63.0,30.0,5.0,9.0
2014-08-28,166.0,79.0,75.0,17.0,2.0,9.0
2014-08-29,164.0,100.0,30.0,27.0,2.0,16.0
2014-08-30,204.0,67.0,60.0,13.0,1.0,10.0
2014-08-31,168.0,91.0,43.0,28.0,2.0,16.0
2014-09-01,182.0,25.0,31.0,13.0,1.0,8.0
2014-09-02,81.0,45.0,48.0,19.0,3.0,4.0
2014-09-03,47.0,67.0,76.0,33.0,2.0,8.0
2014-09-04,112.0,92.0,112.0,24.0,6.0,10.0
2014-09-05,167.0,95.0,94.0,23.0,9.0,14.0
2014-09-06,191.0,106.0,86.0,27.0,8.0,11.0
